NAME,CZ,LOGMSTAR,MODELU_RCORR,R90,MORPHEL,GRPCZ,FC,LOGMH,DEN1MPC
ECO03060,3111.6,11.15,2.35,157.6,E,3166.0,1,12.68,1.85
ECO03061,6675.9,10.57,1.33,37.2,L,6719.0,1,12.11,4.12
ECO03062,5416.9,10.35,2.41,17.5,E,5267.0,1,11.7,1.44
ECO03063,7118.7,10.07,2.15,27.3,L,7075.4,0,13.19,3.38
ECO03064,7246.0,10.49,2.4,20.8,E,7075.4,0,13.19,3.25
ECO03065,6817.8,10.51,2.18,25.8,L,6839.6,0,12.96,0.93
ECO03066,5594.2,10.25,2.36,17.5,E,6266.8,0,14.19,9.48
ECO03067,6878.9,11.27,2.15,102.9,L,7075.4,1,13.19,3.44
ECO03068,2981.0,9.13,0.98,28.9,L,2943.9,0,11.8,0.9
ECO03069,6048.9,10.73,2.36,54.2,E,6020.3,1,11.85,3.66
ECO03070,6357.3,10.03,1.01,39.7,L,6416.7,1,11.71,0.7
ECO03071,6583.6,9.87,0.87,14.0,L,6579.4,1,11.66,2.72
ECO03072,3058.0,9.29,1.24,38.1,L,3058.0,1,11.06,1.47
ECO03073,6948.7,10.93,1.67,84.1,L,6859.9,1,12.92,4.5
ECO03074,3066.3,9.23,1.59,29.5,L,3166.0,0,12.68,1.85
ECO03075,5760.0,11.05,2.39,57.1,E,5726.3,1,12.42,1.66
ECO03076,4124.4,10.27,2.11,32.2,L,4124.4,1,11.52,0.57
ECO03077,3013.5,10.17,1.18,63.9,L,3166.0,0,12.68,1.8
ECO03078,6624.5,10.75,2.36,42.3,L,6611.5,1,12.0,0.54
ECO03079,7444.3,9.99,1.48,16.7,L,7444.3,1,11.47,0.39
ECO03080,5818.9,9.47,1.02,12.6,L,5818.9,1,11.21,1.05
